State,2016 Population,2017 Population,2018 Population,2019 Population,2016 Tot. Fatal.,2017 Tot. Fatal.,2018 Tot. Fatal.,2019 Tot. Fatal.,2018 AID Fatal. Num,2018 Rural Fatal.,2018 Urban Fatal.,2018 Unknown Fatal.,2019 Urban Fatal. Num.,2019 Rural Fatal. Num.,2019 Uknown Fatal. Num.,2018 AID Fatal. Per.,2019 Urban Fatal. Perc.,2019 Rural Fatal. Perc.,2019 AID Fatal. Num.,2019 AID Fatal. Perc.,Tot. Fatal. Change Bool.,Tot. Fatal. Change Num.,Total Fatal. Change Perc.,AID Fatal. Change Bool.,AID Fatal. Change Num.,AID Fatal. Change Perc.,2019 Uknown Fatal. Perc.,AID Fatal. Change Bool.,AID Fatal. Change Num.,AID Fatal. Change Perc.,2019 Uknown Fatal. Perc.
Alabama,"4,779,736","4,874,486","4,887,681","4,903,185",22.65815518,19.44820439,19.49799915,18.96726312,249,11.0686438,8.429355353,0,8.055988098,10.91127502,0,26,42,58,5.649389122,30,F,-23,-2.4,T,28,11.2,0,T,28,11.2,0
Alaska,"710,231","739,700","735,139","731,545",11.82713793,10.68000541,10.88229573,9.158698371,27,5.577176561,5.305119168,0,3.964212728,5.057788653,0.1366969906,34,43,55,3.007333794,33,F,-13,-16.3,F,-5,-18.5,1,F,-5,-18.5,1
Arizona,"6,392,017","7,044,008","7,158,024","7,278,717",14.89357741,14.19646315,14.12400964,13.47764998,298,4.442566831,9.499828444,0.1676440314,8.17451757,4.657414212,0.6457181946,29,61,35,3.572058098,27,F,-30,-3,F,-38,-12.8,5,F,-38,-12.8,5
Arkansas,"2,915,918","3,001,345","3,009,733","3,017,804",19.23922415,16.42596902,17.27728008,16.73402249,135,10.16701481,6.977363108,0,5.401278546,11.33274394,0,26,32,68,4.241494809,25,F,-15,-2.9,F,-7,-5.2,0,F,-7,-5.2,0
California,"37,253,956","39,358,497","39,461,588","39,512,223",10.29957731,9.151772234,9.624549321,9.126289857,1116,2.716565791,6.309933599,0.002534109879,6.23351412,2.872528837,0.02024689929,29,68,31,2.401788429,26,F,-192,-5.1,F,-167,-15,<1,F,-167,-15,<1
Colorado,"5,029,196","5,611,885","5,691,287","5,758,736",12.08940753,11.54692229,11.10469389,10.34949336,192,4.550816011,6.553877884,0,6.095087533,4.202311063,0.05209476524,30,59,41,2.847847166,27,F,-36,-5.7,F,-28,-14.6,1,F,-28,-14.6,1
Connecticut,"3,574,097","3,573,297","3,571,520","3,565,287",8.505644922,7.779929852,8.203789983,6.984009983,120,1.091972046,7.055819371,0.08399784966,5.58159834,1.318266945,0.08414469859,41,80,19,2.636533889,38,F,-44,-15,F,-26,-21.7,1,F,-26,-21.7,1
Delaware,"897,934","956,823","965,479","973,764",13.2526444,12.436992,11.49688393,13.55564593,28,5.593078669,5.903805261,0,6.264351527,7.2912944,0,25,46,54,3.183522907,24,T,21,18.9,T,3,10.7,0,T,3,10.7,0
District of Columbia,"601,723","694,906","701,547","705,749",4.487114503,4.461035018,4.418805868,3.258949003,8,0.1425421248,4.276263743,0,3.258949003,0,0,26,100,0,0.8501606095,26,F,-8,-25.8,F,-2,-25,0,F,-2,-25,0
Florida,"18,801,310","20,963,613","21,244,317","21,477,737",16.89243994,14.84476936,14.75688769,14.8199971,822,3.407970235,8.755282648,2.584220524,10.90897053,3.901714599,0.009311968016,26,74,26,3.678227366,25,T,48,1.5,F,-32,-3.9,<1,F,-32,-3.9,<1
Georgia,"9,687,653","10,410,330","10,511,131","10,617,423",16.06168181,14.79299888,14.31815473,14.04295562,379,4.832971828,9.475669174,0,9.145345344,4.897610277,0,25,65,35,3.3247239,24,F,-14,-0.9,F,-26,-6.9,0,F,-26,-6.9,0
Hawaii,"1,360,301","1,424,393","1,420,593","1,415,872",8.821576989,7.511971766,8.235997221,7.627808163,38,1.830221605,6.405775616,0,6.073995389,1.483184921,0.07062785337,32,80,19,2.542602721,34,F,-9,-7.7,F,-2,-5.3,1,F,-2,-5.3,1
Idaho,"1,567,582","1,717,715","1,750,536","1,787,065",16.13950658,14.20491758,13.36733435,12.53451889,56,9.597060557,3.598897709,0,3.021714375,9.456846841,0.05595767362,24,24,75,3.805121806,30,F,-10,-4.3,T,12,21.4,<1,T,12,21.4,<1
Illinois,"12,830,632","12,778,828","12,723,071","12,671,821",8.401768518,8.584511819,8.134828455,7.962549345,325,3.033858728,5.069530776,0,5.090034021,2.817274644,0.0552406793,31,64,61,2.477939043,31,F,-26,-2.5,F,-11,-3.4,1,F,-11,-3.4,1
Indiana,"6,483,802","6,658,078","6,695,497","6,732,219",12.78570814,13.72768538,12.84445352,12.01684021,214,7.8261554,0.4928685652,0.01493541107,4.664138228,7.308140154,0.04456183021,25,39,73,3.119328115,26,F,-51,-5.9,F,-4,-1.9,<1,F,-4,-1.9,<1
Iowa,"3,046,355","3,141,550","3,148,618","3,155,070",13.19609829,10.50436886,10.13142909,10.649526,90,8.067031313,2.032637811,0,2.915941643,7.733584358,0,28,27,73,3.169501786,30,T,17,5.3,T,10,11.1,0,T,10,11.1,0
Kansas,"2,853,118","2,908,718","2,911,359","2,913,314",15.03618147,15.84890663,13.91102918,15.13740023,81,10.57925182,3.263080919,0.0343482202,3.775768764,10.29755117,0.03432517058,20,27,69,3.123590523,22,T,6,1.5,T,10,12.3,<1,T,10,12.3,<1
Kentucky,"4,339,367","4,452,268","4,461,153","4,467,673",19.21939306,17.56408195,16.22898834,16.38436833,136,11.54410082,4.662471787,0.02241572975,5.125710857,11.25865747,0,19,31,52,3.357452526,20,T,8,1.1,T,14,10.3,0,T,14,10.3,0
Louisiana,"4,533,372","4,670,560","4,659,690","4,648,794",16.69838698,16.27213867,16.54616509,15.63846451,221,6.524039153,9.936283315,0.02146065511,7.571856271,8.066608243,0,29,48,79,4.732410169,30,F,-44,-5.7,F,-1,-0.5,0,F,-1,-0.5,0
Maine,"1,328,361","1,334,612","1,339,057","1,344,212",12.04491851,12.88764075,10.15640111,11.67970528,39,8.737492131,1.418908978,0.07467941992,2.231790819,9.224735384,0.2231790819,28,19,22,3.719651365,32,T,21,15.4,T,11,28.2,2,T,11,28.2,2
